species,common_name,linf_cm,k,t0,a,b,cmax,bc,t_opt,t_max_c,ck1,ck2,rmax,br,act,q10,t_ref_r,fa,ua,ed_prey,ed_fish
# Groupers (Epinephelidae)
# =============================================================================
grouper,Orange-spotted Grouper (Epinephelus coioides),100.0,0.00045,-10,0.0180,3.00,0.09,0.80,28.0,37.0,2.5,2.5,32.0,0.82,1.1,2.0,27.0,0.14,0.08,4600.0,6200.0
giant_grouper,Giant Grouper (Epinephelus lanceolatus),270.0,0.00020,-30,0.0160,3.05,0.06,0.85,28.0,37.0,2.5,2.5,22.0,0.87,1.0,2.0,27.0,0.14,0.08,4600.0,6300.0
brown_marbled_grouper,Brown-marbled Grouper (Epinephelus fuscoguttatus),100.0,0.00045,-10,0.0180,3.00,0.09,0.80,28.0,37.0,2.5,2.5,32.0,0.82,1.1,2.0,27.0,0.14,0.08,4600.0,6200.0
humpback_grouper,Humpback Grouper (Cromileptes altivelis),70.0,0.00055,-8,0.0200,2.96,0.10,0.79,28.0,37.0,2.5,2.5,36.0,0.81,1.1,2.0,27.0,0.14,0.08,4600.0,6100.0
# =============================================================================
# Seabreams (Sparidae)
# =============================================================================
red_sea_bream,Red Sea Bream (Pagrus major),65.0,0.00060,-5,0.0180,3.00,0.12,0.78,24.0,33.0,2.5,2.5,42.0,0.80,1.3,2.0,23.0,0.15,0.09,4600.0,6200.0
gilthead_seabream,Gilthead Seabream (Sparus aurata),60.0,0.00070,-5,0.0190,2.98,0.13,0.77,23.0,32.0,2.5,2.5,44.0,0.79,1.3,2.0,22.0,0.15,0.09,4600.0,6100.0
black_seabream,Black Seabream (Acanthopagrus schlegelii),55.0,0.00065,-5,0.0190,2.99,0.13,0.77,24.0,33.0,2.5,2.5,43.0,0.79,1.2,2.0,23.0,0.15,0.09,4600.0,6100.0
# =============================================================================
# Sea Basses (Moronidae, Serranidae)
# =============================================================================
european_seabass,European Seabass (Dicentrarchus labrax),90.0,0.00055,-10,0.0140,3.03,0.11,0.79,22.0,30.0,2.5,2.5,38.0,0.81,1.4,2.0,21.0,0.16,0.09,4700.0,6200.0
japanese_seabass,Japanese Seabass (Lateolabrax japonicus),100.0,0.00050,-10,0.0130,3.05,0.10,0.80,23.0,31.0,2.5,2.5,35.0,0.82,1.3,2.0,22.0,0.15,0.09,4600.0,6100.0
# =============================================================================
# Flatfishes (Pleuronectiformes)
# =============================================================================
olive_flounder,Olive Flounder (Paralichthys olivaceus),90.0,0.00055,-10,0.0120,3.08,0.10,0.80,21.0,29.0,2.5,2.5,35.0,0.82,1.3,2.0,20.0,0.15,0.09,4700.0,6200.0
turbot,Turbot (Scophthalmus maximus),80.0,0.00060,-10,0.0150,3.03,0.11,0.79,18.0,26.0,2.5,2.5,38.0,0.81,1.5,1.9,17.0,0.17,0.10,4800.0,6500.0
atlantic_halibut,Atlantic Halibut (Hippoglossus hippoglossus),240.0,0.00025,-30,0.0100,3.10,0.06,0.84,12.0,20.0,2.5,2.5,22.0,0.86,1.6,1.8,11.0,0.20,0.11,5000.0,7000.0
tongue_sole,Tongue Sole (Cynoglossus semilaevis),45.0,0.00070,-5,0.0100,3.05,0.12,0.78,22.0,31.0,2.5,2.5,42.0,0.80,1.2,2.0,21.0,0.15,0.09,4600.0,6000.0
# =============================================================================
# Cobia and Pompano
# =============================================================================
cobia,Cobia (Rachycentron canadum),180.0,0.00050,-20,0.0090,3.12,0.08,0.82,29.0,38.0,2.5,2.5,28.0,0.84,1.4,2.1,28.0,0.14,0.08,4700.0,6200.0
florida_pompano,Florida Pompano (Trachinotus carolinus),55.0,0.00080,-5,0.0160,3.00,0.13,0.77,27.0,36.0,2.5,2.5,44.0,0.79,1.3,2.0,26.0,0.14,0.08,4600.0,5800.0
golden_pompano,Golden Pompano (Trachinotus ovatus),55.0,0.00080,-5,0.0160,3.00,0.13,0.77,27.0,36.0,2.5,2.5,44.0,0.79,1.3,2.0,26.0,0.14,0.08,4600.0,5800.0
# =============================================================================
# Milkfish and Mullets
# =============================================================================
milkfish,Milkfish (Chanos chanos),120.0,0.00055,-15,0.0110,3.10,0.08,0.80,29.0,38.0,2.5,2.5,28.0,0.82,1.2,2.1,28.0,0.15,0.09,4500.0,5800.0
grey_mullet,Grey Mullet (Mugil cephalus),90.0,0.00060,-10,0.0140,3.04,0.10,0.79,26.0,35.0,2.5,2.5,35.0,0.81,1.3,2.0,25.0,0.15,0.09,4500.0,5800.0
# =============================================================================
# Drums and Croakers (Sciaenidae)
# =============================================================================
red_drum,Red Drum (Sciaenops ocellatus),120.0,0.00055,-10,0.0125,3.05,0.10,0.80,27.0,36.0,2.5,2.5,35.0,0.82,1.3,2.0,26.0,0.14,0.08,4600.0,6000.0
large_yellow_croaker,Large Yellow Croaker (Larimichthys crocea),40.0,0.00080,-5,0.0160,3.00,0.13,0.77,24.0,33.0,2.5,2.5,44.0,0.79,1.2,2.0,23.0,0.14,0.08,4600.0,5900.0
mulloway,Mulloway (Argyrosomus japonicus),180.0,0.00040,-20,0.0105,3.10,0.08,0.82,24.0,33.0,2.5,2.5,28.0,0.84,1.3,2.0,23.0,0.15,0.09,4600.0,6100.0
# =============================================================================
# Characins (Serrasalmidae, Prochilodontidae)
# =============================================================================
pacu,Pacu (Piaractus mesopotamicus),80.0,0.00060,-5,0.0250,2.95,0.09,0.79,27.0,36.0,2.5,2.5,32.0,0.81,1.1,2.0,26.0,0.15,0.09,4400.0,5700.0
tambaqui,Tambaqui (Colossoma macropomum),100.0,0.00055,-10,0.0240,2.97,0.08,0.80,28.0,37.0,2.5,2.5,28.0,0.82,1.1,2.0,27.0,0.15,0.09,4400.0,5700.0
pirapitinga,Pirapitinga (Piaractus brachypomus),85.0,0.00055,-5,0.0250,2.95,0.08,0.80,28.0,37.0,2.5,2.5,28.0,0.82,1.1,2.0,27.0,0.15,0.09,4400.0,5700.0
# =============================================================================
# Eels (Anguillidae)
# =============================================================================
japanese_eel,Japanese Eel (Anguilla japonica),80.0,0.00040,-10,0.0025,3.15,0.08,0.80,27.0,36.0,2.5,2.5,28.0,0.82,1.1,2.0,26.0,0.14,0.08,5000.0,7000.0
european_eel,European Eel (Anguilla anguilla),120.0,0.00035,-15,0.0022,3.18,0.07,0.81,22.0,30.0,2.5,2.5,26.0,0.83,1.2,2.0,21.0,0.14,0.08,5000.0,7200.0
american_eel,American Eel (Anguilla rostrata),100.0,0.00038,-12,0.0023,3.17,0.08,0.80,24.0,32.0,2.5,2.5,27.0,0.82,1.2,2.0,23.0,0.14,0.08,5000.0,7100.0
# =============================================================================
# Sturgeons (Acipenseridae)
# =============================================================================
white_sturgeon,White Sturgeon (Acipenser transmontanus),400.0,0.00015,-50,0.0080,3.15,0.05,0.85,18.0,26.0,2.5,2.5,18.0,0.87,1.3,1.9,17.0,0.18,0.10,4700.0,6500.0
siberian_sturgeon,Siberian Sturgeon (Acipenser baerii),200.0,0.00030,-30,0.0090,3.12,0.07,0.83,20.0,28.0,2.5,2.5,25.0,0.85,1.3,2.0,19.0,0.17,0.10,4700.0,6400.0
russian_sturgeon,Russian Sturgeon (Acipenser gueldenstaedtii),230.0,0.00025,-35,0.0085,3.13,0.06,0.84,19.0,27.0,2.5,2.5,22.0,0.86,1.3,1.9,18.0,0.18,0.10,4700.0,6400.0
beluga,Beluga Sturgeon (Huso huso),600.0,0.00010,-60,0.0070,3.18,0.03,0.88,18.0,26.0,2.5,2.5,12.0,0.90,1.2,1.9,17.0,0.18,0.10,4700.0,6600.0
sterlet,Sterlet (Acipenser ruthenus),100.0,0.00045,-20,0.0100,3.10,0.09,0.82,19.0,27.0,2.5,2.5,30.0,0.84,1.3,2.0,18.0,0.17,0.10,4700.0,6300.0
# =============================================================================
# Paddlefish
# =============================================================================
paddlefish,Paddlefish (Polyodon spathula),200.0,0.00040,-25,0.0075,3.15,0.06,0.83,22.0,30.0,2.5,2.5,22.0,0.85,1.2,2.0,21.0,0.17,0.10,4500.0,6200.0
# =============================================================================
# Pikes (Esocidae)
# =============================================================================
northern_pike,Northern Pike (Esox lucius),130.0,0.00045,-25,0.0070,3.12,0.09,0.81,20.0,28.0,2.5,2.5,32.0,0.83,1.6,1.9,19.0,0.16,0.09,4800.0,6400.0
muskellunge,Muskellunge (Esox masquinongy),150.0,0.00035,-30,0.0065,3.14,0.08,0.82,22.0,30.0,2.5,2.5,28.0,0.84,1.5,1.9,21.0,0.16,0.09,4800.0,6500.0
# =============================================================================
# Pangasius
# =============================================================================
pangasius,Striped Pangasius (Pangasianodon hypophthalmus),130.0,0.00050,-10,0.0125,3.06,0.09,0.79,29.0,38.0,2.5,2.5,32.0,0.81,1.1,2.0,28.0,0.15,0.08,4400.0,5700.0
# =============================================================================
# Anabantids
# =============================================================================
climbing_perch,Climbing Perch (Anabas testudineus),25.0,0.00100,0,0.0220,2.95,0.15,0.74,29.0,38.0,2.5,2.5,50.0,0.76,1.2,2.1,28.0,0.13,0.07,4500.0,5400.0
# =============================================================================
# Livebearers for aquaculture
# =============================================================================
mollies,Sailfin Molly (Poecilia latipinna),12.0,0.00200,0,0.0180,3.10,0.20,0.70,27.0,36.0,2.5,2.5,60.0,0.72,1.0,2.0,26.0,0.12,0.07,4400.0,5200.0
# =============================================================================
# Shrimp and Prawns (Decapoda)
# =============================================================================
pacific_white_shrimp,Pacific White Shrimp (Litopenaeus vannamei),22.0,0.00200,-2,0.0080,3.00,0.25,0.72,30.0,39.0,2.5,2.5,80.0,0.74,1.1,2.2,29.0,0.12,0.06,4600.0,5000.0
giant_tiger_prawn,Giant Tiger Prawn (Penaeus monodon),28.0,0.00150,-3,0.0075,3.02,0.22,0.73,29.0,38.0,2.5,2.5,72.0,0.75,1.1,2.1,28.0,0.12,0.06,4600.0,5100.0
freshwater_prawn,Giant Freshwater Prawn (Macrobrachium rosenbergii),30.0,0.00140,-5,0.0090,3.00,0.20,0.74,29.0,38.0,2.5,2.5,65.0,0.76,1.1,2.1,28.0,0.12,0.06,4500.0,5000.0
kuruma_prawn,Kuruma Prawn (Marsupenaeus japonicus),22.0,0.00180,-2,0.0080,3.00,0.24,0.73,27.0,36.0,2.5,2.5,78.0,0.75,1.1,2.1,26.0,0.12,0.06,4600.0,5100.0
chinese_white_shrimp,Chinese White Shrimp (Fenneropenaeus chinensis),20.0,0.00220,-2,0.0085,2.98,0.26,0.72,26.0,35.0,2.5,2.5,82.0,0.74,1.1,2.0,25.0,0.12,0.06,4500.0,5000.0
banana_prawn,Banana Prawn (Fenneropenaeus merguiensis),22.0,0.00190,-2,0.0080,3.00,0.24,0.73,29.0,38.0,2.5,2.5,76.0,0.75,1.1,2.1,28.0,0.12,0.06,4600.0,5100.0
# =============================================================================
# Crayfish
# =============================================================================
redclaw_crayfish,Redclaw Crayfish (Cherax quadricarinatus),18.0,0.00150,-5,0.0250,3.05,0.15,0.75,28.0,37.0,2.5,2.5,55.0,0.77,1.0,2.0,27.0,0.13,0.07,4500.0,5200.0
yabby,Yabby (Cherax destructor),14.0,0.00180,-3,0.0280,3.00,0.18,0.74,25.0,34.0,2.5,2.5,60.0,0.76,1.0,2.0,24.0,0.13,0.07,4500.0,5200.0
marbled_crayfish,Marbled Crayfish (Procambarus virginalis),12.0,0.00200,-2,0.0300,2.98,0.20,0.73,24.0,33.0,2.5,2.5,65.0,0.75,1.0,2.0,23.0,0.12,0.07,4400.0,5100.0
signal_crayfish,Signal Crayfish (Pacifastacus leniusculus),16.0,0.00160,-3,0.0260,3.02,0.17,0.74,18.0,26.0,2.5,2.5,58.0,0.76,1.2,1.9,17.0,0.13,0.07,4600.0,5300.0
# =============================================================================
# Crabs
# =============================================================================
chinese_mitten_crab,Chinese Mitten Crab (Eriocheir sinensis),8.0,0.00250,-3,0.0350,3.10,0.22,0.72,25.0,34.0,2.5,2.5,70.0,0.74,1.0,2.0,24.0,0.13,0.07,4600.0,5200.0
mud_crab,Mud Crab (Scylla serrata),20.0,0.00130,-5,0.0300,3.05,0.16,0.75,28.0,37.0,2.5,2.5,55.0,0.77,1.1,2.0,27.0,0.13,0.07,4600.0,5300.0
blue_crab,Blue Crab (Callinectes sapidus),22.0,0.00140,-5,0.0280,3.08,0.16,0.75,26.0,35.0,2.5,2.5,54.0,0.77,1.2,2.0,25.0,0.13,0.07,4600.0,5300.0
# =============================================================================
# Mollusks
# =============================================================================
abalone,Abalone (Haliotis discus hannai),12.0,0.00080,-5,0.0250,2.85,0.05,0.78,18.0,26.0,2.5,2.5,22.0,0.80,1.0,1.9,17.0,0.15,0.08,4800.0,5500.0
green_abalone,Green Abalone (Haliotis fulgens),15.0,0.00070,-8,0.0230,2.88,0.04,0.79,17.0,25.0,2.5,2.5,20.0,0.81,1.0,1.9,16.0,0.15,0.08,4800.0,5500.0
pacific_oyster,Pacific Oyster (Crassostrea gigas),15.0,0.00090,-5,0.0150,2.90,0.04,0.80,18.0,27.0,2.5,2.5,18.0,0.82,1.0,1.9,17.0,0.14,0.07,4500.0,5200.0
eastern_oyster,Eastern Oyster (Crassostrea virginica),13.0,0.00100,-5,0.0160,2.88,0.05,0.79,22.0,31.0,2.5,2.5,20.0,0.81,1.0,2.0,21.0,0.14,0.07,4500.0,5200.0
mediterranean_mussel,Mediterranean Mussel (Mytilus galloprovincialis),8.0,0.00120,-3,0.0120,2.70,0.06,0.78,20.0,29.0,2.5,2.5,25.0,0.80,1.0,2.0,19.0,0.14,0.07,4400.0,5000.0
blue_mussel,Blue Mussel (Mytilus edulis),8.0,0.00130,-3,0.0120,2.70,0.06,0.78,17.0,25.0,2.5,2.5,26.0,0.80,1.0,1.9,16.0,0.14,0.07,4400.0,5000.0
manila_clam,Manila Clam (Ruditapes philippinarum),5.0,0.00150,-2,0.0180,2.65,0.07,0.76,22.0,31.0,2.5,2.5,28.0,0.78,1.0,2.0,21.0,0.13,0.07,4400.0,4900.0
yesso_scallop,Yesso Scallop (Mizuhopecten yessoensis),20.0,0.00080,-10,0.0080,2.75,0.04,0.80,15.0,23.0,2.5,2.5,18.0,0.82,1.0,1.9,14.0,0.15,0.08,4600.0,5300.0
# =============================================================================
# Sea Cucumbers
# =============================================================================
japanese_sea_cucumber,Japanese Sea Cucumber (Apostichopus japonicus),30.0,0.00060,-15,0.0050,2.50,0.03,0.80,16.0,24.0,2.5,2.5,15.0,0.82,1.0,1.9,15.0,0.14,0.07,4200.0,4800.0
# =============================================================================
# Additional Freshwater Species
# =============================================================================
nile_tilapia_ghana,Nile Tilapia (Ghana strain),50.0,0.00140,0,0.0200,3.00,0.15,0.73,29.0,38.0,2.5,2.5,46.0,0.75,1.2,2.0,28.0,0.15,0.08,4500.0,5500.0
silver_barb,Silver Barb (Barbonymus gonionotus),40.0,0.00080,0,0.0170,3.00,0.12,0.76,28.0,37.0,2.5,2.5,42.0,0.78,1.1,2.0,27.0,0.14,0.08,4400.0,5500.0
java_barb,Java Barb (Barbonymus gonionotus),38.0,0.00085,0,0.0170,3.00,0.12,0.76,28.0,37.0,2.5,2.5,43.0,0.78,1.1,2.0,27.0,0.14,0.08,4400.0,5500.0
tor_tambroides,Mahseer (Tor tambroides),100.0,0.00050,-10,0.0140,3.05,0.10,0.79,25.0,34.0,2.5,2.5,35.0,0.81,1.3,2.0,24.0,0.15,0.09,4500.0,5800.0
hoven_carp,Hoven's Carp (Leptobarbus hoevenii),80.0,0.00060,-5,0.0130,3.04,0.11,0.78,27.0,36.0,2.5,2.5,37.0,0.80,1.2,2.0,26.0,0.15,0.09,4400.0,5700.0
tinfoil_barb,Tinfoil Barb (Barbonymus schwanenfeldii),35.0,0.00090,0,0.0180,3.00,0.13,0.75,27.0,36.0,2.5,2.5,45.0,0.77,1.1,2.0,26.0,0.14,0.08,4400.0,5500.0
# =============================================================================
# Marine Additional
# =============================================================================
amberjack,Greater Amberjack (Seriola dumerili),180.0,0.00045,-20,0.0150,3.05,0.08,0.82,24.0,32.0,2.5,2.5,28.0,0.84,1.6,2.0,23.0,0.15,0.09,4800.0,6500.0
japanese_amberjack,Japanese Amberjack (Seriola quinqueradiata),120.0,0.00060,-15,0.0160,3.02,0.10,0.80,23.0,31.0,2.5,2.5,35.0,0.82,1.6,2.0,22.0,0.15,0.09,4800.0,6400.0
snubnose_pompano,Snubnose Pompano (Trachinotus blochii),60.0,0.00070,-5,0.0170,3.00,0.12,0.78,28.0,37.0,2.5,2.5,42.0,0.80,1.3,2.0,27.0,0.14,0.08,4600.0,5900.0
